customer_id,card_id,card_type,credit_limit,credit_card_balance,minimum_payment_due,payment_due_date,last_credit_card_payment_date,rewards_points
33,33,mastercard,7417.07,3107.77,155.39,2023-03-27,2023-10-22,2387
34,34,visa,5395.87,560.7,28.04,2023-09-23,2023-05-11,4561
35,35,amex,8046.16,2208.16,110.41,2023-07-30,2023-09-04,2971
36,36,visa,5522.52,2735.81,136.79,2023-05-31,2023-10-18,6543
37,37,mastercard,3589.1,4775.86,238.79,2023-03-09,2023-03-13,443
38,38,amex,9908.09,1725.59,86.28,2023-07-30,2023-12-10,440
39,39,amex,3179.12,3347.7,167.38,2023-02-20,2023-01-30,9290
40,40,mastercard,4623.6,56.38,2.82,2023-05-28,2023-03-21,526
41,41,visa,7976.79,2183.5,109.18,2023-02-24,2023-11-24,1841
42,42,mastercard,5660.53,202.41,10.12,2023-01-23,2023-10-20,6292
43,43,amex,7147.73,1185.11,59.26,2023-12-12,2023-03-20,2095
44,44,mastercard,5391.71,2346.46,117.32,2023-08-25,2023-01-09,2285
45,45,amex,6494.58,2906.73,145.34,2023-05-22,2023-06-15,7103
46,46,amex,5610.23,4383.34,219.17,2023-07-12,2023-06-06,4173
47,47,mastercard,9925.21,924.02,46.2,2023-01-19,2023-10-23,722
48,48,mastercard,2867.41,1543.14,77.16,2023-01-27,2023-06-23,5615
49,49,mastercard,9023.88,2786.09,139.3,2023-06-04,2023-08-09,2212
50,50,visa,5180.67,1063.32,53.17,2023-02-11,2023-06-23,2445
51,51,amex,1226.63,4537.6,226.88,2023-03-29,2023-04-02,61
52,52,amex,9801.79,4369.68,218.48,2023-11-29,2023-03-19,2757
53,53,amex,8825.31,4434.35,221.72,2023-08-05,2023-03-09,2042
54,54,mastercard,1662.19,3601.42,180.07,2023-11-02,2023-06-16,4735
55,55,amex,4451.64,4981.24,249.06,2023-08-14,2023-06-29,8927
56,56,mastercard,8771.57,4130.99,206.55,2023-04-08,2023-06-11,8261
57,57,mastercard,5559.78,2479.94,124.0,2023-07-05,2023-01-17,2928
58,58,visa,9315.29,3693.78,184.69,2023-11-28,2023-04-26,5456
59,59,amex,6365.93,479.28,23.96,2023-06-14,2023-07-24,3616
60,60,visa,8287.3,4590.25,229.51,2023-11-28,2023-07-09,9195
61,61,mastercard,5051.49,4920.85,246.04,2023-05-30,2023-11-30,4132
62,62,amex,1834.47,4285.04,214.25,2023-06-23,2023-07-31,8052
63,63,amex,3042.97,177.97,8.9,2023-11-12,2023-10-06,130
64,64,amex,2220.55,826.04,41.3,2023-09-20,2023-03-09,2892
65,65,amex,8216.62,527.51,26.38,2023-07-11,2023-11-08,1801
66,66,mastercard,9313.17,2128.26,106.41,2023-08-11,2023-11-14,6734
67,67,amex,3075.82,190.61,9.53,2023-04-26,2023-09-30,466
68,68,amex,3895.3,4716.75,235.84,2023-08-12,2023-06-04,6101
69,69,amex,7657.6,2925.25,146.26,2023-04-03,2023-02-22,71
70,70,visa,4900.65,2837.64,141.88,2023-06-13,2023-03-03,7405
71,71,amex,8291.94,2230.04,111.5,2023-01-17,2023-10-19,5695
72,72,visa,3866.07,1689.29,84.46,2023-05-21,2023-10-09,6865
73,73,visa,5748.09,2421.45,121.07,2023-01-30,2023-10-01,257
74,74,amex,8505.91,2587.65,129.38,2023-11-26,2023-07-25,7360
75,75,mastercard,4149.29,3478.89,173.94,2023-10-30,2023-03-10,1339
76,76,mastercard,6771.04,826.25,41.31,2023-03-02,2023-02-06,5136
77,77,amex,6816.02,2876.14,143.81,2023-12-08,2023-08-01,1868
78,78,mastercard,4167.36,2895.65,144.78,2023-07-17,2023-02-02,2974
79,79,amex,7692.29,1834.95,91.75,2023-10-13,2023-01-20,9311
80,80,visa,5756.9,4821.45,241.07,2023-01-21,2023-07-17,5682
81,81,amex,6346.33,3725.51,186.28,2023-08-07,2023-08-24,8898
82,82,mastercard,4514.98,3553.84,177.69,2023-10-30,2023-04-30,4919
83,83,mastercard,1809.62,4365.64,218.28,2023-07-22,2023-05-04,9222
84,84,amex,7285.15,1694.55,84.73,2023-05-21,2023-07-11,6577
85,85,amex,4087.24,1063.35,53.17,2023-04-12,2023-10-31,697
86,86,mastercard,6476.25,2191.43,109.57,2023-03-25,2023-12-09,4225
87,87,amex,9170.78,2987.74,149.39,2023-03-07,2023-12-16,8866
88,88,visa,8514.73,2788.0,139.4,2023-08-08,2023-04-13,7888
89,89,mastercard,6663.31,1102.03,55.1,2023-05-26,2023-03-21,4072
90,90,mastercard,3047.11,1343.47,67.17,2023-08-11,2023-08-07,1434
91,91,visa,5646.98,4628.69,231.43,2023-05-28,2023-02-11,6763
92,92,visa,4373.69,405.51,20.28,2023-09-27,2023-11-30,1807
93,93,visa,6319.51,2520.25,126.01,2023-09-02,2023-07-21,7430
94,94,mastercard,7582.01,2373.34,118.67,2023-07-19,2023-09-12,2695
95,95,mastercard,7536.36,1916.85,95.84,2023-12-12,2023-03-17,2170
96,96,mastercard,1512.66,3918.05,195.9,2023-10-27,2023-12-26,1024
97,97,visa,4355.01,4612.91,230.65,2023-10-04,2023-11-17,2512
98,98,amex,4510.45,4986.37,249.32,2023-10-06,2023-01-14,7899
99,99,mastercard,2685.39,613.7,30.68,2023-07-30,2023-07-22,3175
100,100,amex,5380.02,214.28,10.71,2023-01-03,2023-04-01,8789
101,101,mastercard,3511.78,1376.5,68.82,2023-03-07,2023-09-23,9703
102,102,mastercard,4126.54,3412.51,170.63,2023-04-23,2023-07-12,31
103,103,mastercard,6153.34,2022.65,101.13,2023-07-18,2023-09-08,4147
104,104,amex,8627.02,2329.53,116.48,2023-01-13,2023-03-20,7328
105,105,visa,4854.94,4997.11,249.86,2023-05-03,2023-04-16,4710
106,106,mastercard,5861.01,2456.68,122.83,2023-09-27,2023-03-14,6998
107,107,mastercard,8157.08,4576.73,228.84,2023-07-21,2023-04-19,7527
108,108,visa,4867.49,2058.35,102.92,2023-04-03,2023-10-06,233
109,109,amex,4475.64,2200.76,110.04,2023-03-25,2023-09-26,3505
110,110,mastercard,6993.33,3857.36,192.87,2023-01-21,2023-07-19,6390
111,111,amex,3437.91,4507.25,225.36,2023-07-21,2023-05-18,6264
112,112,amex,1256.36,4064.69,203.23,2023-03-12,2023-03-11,7027
113,113,visa,2209.7,2357.23,117.86,2023-11-10,2023-05-20,2290
114,114,amex,3479.44,3490.18,174.51,2023-10-30,2023-05-17,4252
115,115,visa,8283.82,1318.87,65.94,2023-07-30,2023-09-26,5608
116,116,amex,2894.62,385.92,19.3,2023-12-29,2023-03-04,6192
117,117,visa,6586.05,790.09,39.5,2023-08-07,2023-04-30,2828
118,118,visa,3783.95,120.35,6.02,2023-01-17,2023-10-17,4647
119,119,amex,1529.45,2222.57,111.13,2023-10-03,2023-06-04,1429
120,120,amex,8489.28,3278.29,163.91,2023-02-25,2023-01-23,8769
121,121,mastercard,9401.57,167.13,8.36,2023-05-19,2023-09-26,43
122,122,visa,2496.41,259.08,12.95,2023-03-28,2023-12-18,9399
123,123,amex,5587.79,2604.08,130.2,2023-04-01,2023-11-19,9171
124,124,mastercard,3590.78,4697.89,234.89,2023-04-13,2023-04-24,6392
125,125,amex,5948.94,706.91,35.35,2023-10-13,2023-06-10,150
126,126,visa,7321.96,3392.53,169.63,2023-12-15,2023-02-09,8470
127,127,mastercard,9860.94,3272.27,163.61,2023-02-06,2023-05-09,9401
128,128,amex,4135.25,1529.74,76.49,2023-07-13,2023-10-17,6486
129,129,mastercard,3290.08,379.47,18.97,2023-05-07,2023-12-24,8687
130,130,amex,7014.85,3045.93,152.3,2023-10-02,2023-04-29,2220
131,131,amex,8587.19,2216.28,110.81,2023-11-06,2023-05-31,8979
132,132,visa,1251.09,1559.79,77.99,2023-01-25,2023-12-28,8122
133,133,mastercard,1390.08,3900.56,195.03,2023-07-16,2023-04-08,987
134,134,amex,6231.45,2024.65,101.23,2023-10-22,2023-02-14,9179
135,135,amex,2174.01,3085.42,154.27,2023-12-21,2023-08-15,1932
136,136,mastercard,6662.18,1281.2,64.06,2023-01-07,2023-05-10,4718
137,137,mastercard,6093.49,391.53,19.58,2023-04-17,2023-11-30,7801
138,138,mastercard,8212.72,775.69,38.78,2023-05-24,2023-12-20,8387
139,139,mastercard,8175.18,1838.14,91.91,2023-10-16,2023-01-11,6968
140,140,visa,8492.02,3669.04,183.45,2023-02-16,2023-10-16,4561
141,141,visa,9408.31,2928.2,146.41,2023-07-07,2023-04-18,714
142,142,visa,6312.22,1881.02,94.05,2023-07-31,2023-12-27,9063
143,143,mastercard,2303.07,2371.43,118.57,2023-05-27,2023-09-27,6128
144,144,visa,9231.54,2908.31,145.42,2023-07-04,2023-04-28,2160
145,145,amex,9968.85,846.06,42.3,2023-06-11,2023-10-30,8707
146,146,visa,1346.18,1359.01,67.95,2023-07-16,2023-09-21,358
147,147,amex,6418.03,1382.53,69.13,2023-08-03,2023-05-22,2320
148,148,amex,4367.88,515.22,25.76,2023-09-05,2023-05-20,3981
149,149,visa,3733.76,998.89,49.94,2023-10-12,2023-07-30,9159
150,150,amex,7923.47,2796.43,139.82,2023-05-12,2023-04-24,1150
151,151,amex,3712.46,1131.56,56.58,2023-09-02,2023-12-19,3012
152,152,visa,2347.08,2909.99,145.5,2023-10-05,2023-04-13,3935
153,153,amex,3183.69,120.08,6.0,2023-07-26,2023-09-06,3765
154,154,visa,5836.36,869.04,43.45,2023-01-28,2023-01-03,3920
155,155,mastercard,3287.64,3057.75,152.89,2023-02-11,2023-04-26,3507
156,156,mastercard,4145.51,2922.09,146.1,2023-06-27,2023-01-18,5639
157,157,amex,6173.4,1378.44,68.92,2023-12-16,2023-10-07,7205
158,158,amex,7228.7,3116.28,155.81,2023-08-24,2023-05-17,3106
159,159,amex,1630.36,829.57,41.48,2023-07-24,2023-10-04,5436
160,160,visa,4703.32,4087.66,204.38,2023-09-26,2023-06-23,8753
161,161,mastercard,7430.25,1251.65,62.58,2023-01-12,2023-02-04,2604
162,162,mastercard,3950.7,2336.54,116.83,2023-06-01,2023-06-05,5262
163,163,mastercard,7817.04,4736.61,236.83,2023-06-04,2023-11-11,9907
164,164,mastercard,4082.07,2888.99,144.45,2023-09-05,2023-08-12,5930
165,165,amex,7833.65,3761.37,188.07,2023-10-25,2023-03-01,9441
166,166,mastercard,9602.15,3727.59,186.38,2023-10-28,2023-08-23,3357
167,167,mastercard,5537.35,1906.93,95.35,2023-07-02,2023-08-29,7951
168,168,amex,5344.8,500.83,25.04,2023-01-14,2023-07-10,5622
169,169,amex,5360.21,1702.76,85.14,2023-04-12,2023-12-19,9041
170,170,visa,9571.27,168.94,8.45,2023-10-19,2023-12-17,3832
171,171,amex,2433.47,1320.95,66.05,2023-06-27,2023-03-05,5145
172,172,mastercard,7662.66,181.43,9.07,2023-03-15,2023-02-14,707
173,173,mastercard,7207.61,2097.76,104.89,2023-11-16,2023-10-24,1802
174,174,mastercard,6691.97,45.09,2.25,2023-08-15,2023-07-30,2157
175,175,visa,7654.68,3803.42,190.17,2023-05-22,2023-03-17,3765
176,176,visa,3873.79,4815.27,240.76,2023-03-22,2023-07-28,5527
177,177,visa,9352.22,158.31,7.92,2023-01-02,2023-09-30,6037
178,178,amex,9170.27,2889.18,144.46,2023-03-22,2023-09-17,8537
179,179,mastercard,3074.32,1352.26,67.61,2023-09-05,2023-10-02,3858
180,180,visa,5629.23,2618.58,130.93,2023-10-31,2023-07-15,2004
181,181,mastercard,3822.26,4715.61,235.78,2023-05-09,2023-10-13,7071
182,182,visa,8116.98,3826.42,191.32,2023-12-28,2023-02-16,9833
183,183,amex,9102.64,3731.6,186.58,2023-10-20,2023-02-14,7330
184,184,amex,5814.61,1467.03,73.35,2023-06-25,2023-10-03,1138
185,185,mastercard,3885.67,3982.37,199.12,2023-08-11,2023-05-19,7290
186,186,mastercard,6808.84,512.42,25.62,2023-09-03,2023-07-11,9002
187,187,visa,2281.89,3537.47,176.87,2023-06-05,2023-09-01,8097
188,188,mastercard,5579.63,2020.83,101.04,2023-01-18,2023-01-20,8657
189,189,mastercard,7827.75,2186.18,109.31,2023-12-02,2023-01-31,4937
190,190,mastercard,3365.06,2449.18,122.46,2023-11-10,2023-10-04,3447
191,191,mastercard,4527.44,3841.22,192.06,2023-06-12,2023-04-13,1937
192,192,mastercard,6889.0,1557.54,77.88,2023-12-05,2023-06-24,9840
193,193,mastercard,9637.01,1617.49,80.87,2023-06-25,2023-11-04,1701
194,194,amex,1714.43,2601.65,130.08,2023-03-13,2023-07-18,6100
195,195,mastercard,2400.35,1338.98,66.95,2023-07-06,2023-02-13,9394
196,196,amex,2151.57,2230.58,111.53,2023-09-09,2023-03-26,8131
197,197,mastercard,2985.56,3301.72,165.09,2023-06-21,2023-09-21,4377
198,198,mastercard,1545.49,4949.28,247.46,2023-11-03,2023-09-23,1764
199,199,mastercard,4259.28,1309.97,65.5,2023-04-09,2023-02-24,1471
200,200,mastercard,3525.57,1310.76,65.54,2023-09-25,2023-12-21,7179
201,201,visa,2783.1,1970.59,98.53,2023-09-07,2023-12-14,6515
202,202,visa,3316.81,3295.36,164.77,2023-04-19,2023-01-02,2011
203,203,mastercard,6791.64,4631.24,231.56,2023-05-26,2023-10-21,9311
204,204,visa,7200.6,4745.12,237.26,2023-04-06,2023-02-12,2801
205,205,amex,9356.31,1690.09,84.5,2023-06-15,2023-03-21,4164
206,206,visa,2892.66,2086.37,104.32,2023-09-02,2023-04-15,2813
207,207,visa,1909.04,2181.68,109.08,2023-11-22,2023-04-18,2240
208,208,mastercard,1527.5,1744.56,87.23,2023-05-21,2023-10-23,725
209,209,mastercard,5437.87,1577.08,78.85,2023-08-16,2023-06-04,9231
210,210,amex,6813.25,356.96,17.85,2023-09-08,2023-04-09,4357
211,211,mastercard,3156.94,2725.48,136.27,2023-11-28,2023-06-21,1847
212,212,mastercard,6991.48,3311.69,165.58,2023-10-18,2023-12-31,7589
213,213,amex,2686.51,4957.89,247.89,2023-01-02,2023-12-28,7893
214,214,amex,3001.84,3095.85,154.79,2023-12-07,2023-10-11,5035
215,215,amex,6978.03,3052.17,152.61,2023-08-07,2023-07-22,3884
216,216,amex,9590.03,1851.94,92.6,2023-06-04,2023-10-13,4646
217,217,visa,9128.25,287.56,14.38,2023-09-24,2023-05-21,4047
218,218,visa,1243.2,3070.83,153.54,2023-07-29,2023-02-19,7776
219,219,visa,9832.4,627.7,31.39,2023-09-20,2023-05-08,1494
220,220,amex,4280.3,3719.57,185.98,2023-05-10,2023-01-29,2113
221,221,amex,5988.43,3770.77,188.54,2023-02-27,2023-12-08,1414
222,222,amex,4107.94,525.49,26.27,2023-12-12,2023-05-07,6231
223,223,mastercard,8419.66,1388.13,69.41,2023-07-19,2023-03-05,7116
224,224,mastercard,7051.47,4099.49,204.97,2023-12-10,2023-08-14,7247
225,225,mastercard,8894.78,4810.91,240.55,2023-01-01,2023-11-07,330
226,226,visa,2909.13,3652.84,182.64,2023-02-21,2023-12-01,5636
227,227,mastercard,6763.76,2006.63,100.33,2023-04-22,2023-12-22,432
228,228,amex,5784.83,4136.06,206.8,2023-12-18,2023-10-30,5555
229,229,visa,6299.55,1464.49,73.22,2023-08-15,2023-08-30,1614
230,230,amex,4288.63,4331.3,216.57,2023-10-17,2023-12-29,1645
231,231,visa,1057.94,214.18,10.71,2023-08-17,2023-03-06,5968
232,232,mastercard,7341.97,4964.63,248.23,2023-05-15,2023-07-23,2463
233,233,amex,7429.1,552.67,27.63,2023-10-06,2023-01-16,1450
234,234,amex,8830.44,4575.83,228.79,2023-07-28,2023-11-09,3464
235,235,visa,9662.69,4262.7,213.14,2023-03-11,2023-07-21,5019
236,236,visa,2791.92,1466.02,73.3,2023-07-10,2023-02-28,1932
237,237,mastercard,1613.01,2311.76,115.59,2023-07-21,2023-07-11,6113
238,238,amex,8064.15,1072.37,53.62,2023-06-01,2023-02-13,1392
239,239,visa,8908.27,2405.34,120.27,2023-06-20,2023-04-16,5659
240,240,visa,2540.59,904.03,45.2,2023-06-22,2023-06-10,1610
241,241,mastercard,1981.49,1463.07,73.15,2023-12-17,2023-12-12,8134
242,242,amex,8639.15,195.79,9.79,2023-12-22,2023-05-18,5880
243,243,mastercard,9799.74,2759.35,137.97,2023-10-14,2023-06-29,2503
244,244,mastercard,4670.46,3617.72,180.89,2023-06-10,2023-04-12,5681
245,245,amex,9144.37,1011.49,50.57,2023-06-09,2023-01-10,4369
246,246,amex,7942.51,3060.67,153.03,2023-07-22,2023-07-27,5538
247,247,mastercard,3605.5,240.42,12.02,2023-05-12,2023-08-06,8061
248,248,amex,2412.86,417.31,20.87,2023-11-22,2023-02-22,6935
249,249,visa,2754.94,2722.29,136.11,2023-06-09,2023-01-22,3505
250,250,amex,5735.04,296.43,14.82,2023-08-06,2023-11-24,1093
251,251,amex,4576.09,2286.04,114.3,2023-10-15,2023-09-24,5281
252,252,visa,9627.43,320.35,16.02,2023-06-16,2023-11-19,664
253,253,visa,4738.01,1746.38,87.32,2023-10-12,2023-09-12,6368
254,254,visa,1874.38,4403.33,220.17,2023-04-22,2023-01-13,812
255,255,mastercard,2075.38,3732.0,186.6,2023-06-09,2023-07-05,2048
256,256,amex,9151.72,2067.78,103.39,2023-08-21,2023-02-14,8249
257,257,visa,5662.66,1751.44,87.57,2023-09-27,2023-06-20,7384
258,258,visa,9508.98,1823.61,91.18,2023-01-24,2023-09-08,9654
259,259,visa,9551.98,658.84,32.94,2023-08-11,2023-10-22,474
260,260,visa,9665.04,1953.25,97.66,2023-01-24,2023-05-16,4837
261,261,visa,9293.56,2937.41,146.87,2023-10-21,2023-06-17,7841
262,262,amex,8990.91,4239.71,211.99,2023-03-11,2023-12-16,5449
263,263,visa,6587.25,3412.68,170.63,2023-02-23,2023-07-13,183
264,264,visa,9565.37,3189.8,159.49,2023-10-20,2023-11-10,4118
265,265,mastercard,8159.68,335.96,16.8,2023-07-08,2023-04-09,7627
266,266,visa,7131.21,713.68,35.68,2023-04-23,2023-03-06,3922
267,267,visa,9047.88,472.18,23.61,2023-02-09,2023-04-11,6826
268,268,mastercard,8277.78,954.37,47.72,2023-01-14,2023-08-07,3359
269,269,mastercard,4432.05,3869.91,193.5,2023-06-16,2023-07-25,3905
270,270,mastercard,3518.58,3101.83,155.09,2023-05-28,2023-06-11,476
271,271,amex,2356.87,2211.73,110.59,2023-04-04,2023-01-12,7869
272,272,visa,9555.65,57.96,2.9,2023-09-20,2023-01-23,7544
273,273,amex,1771.88,3340.55,167.03,2023-08-03,2023-07-15,4518
274,274,visa,7934.05,2696.95,134.85,2023-11-07,2023-03-19,3540
275,275,mastercard,4477.15,414.14,20.71,2023-02-21,2023-06-30,9634
276,276,amex,5197.16,3503.75,175.19,2023-03-05,2023-12-13,2561
277,277,mastercard,2090.43,1349.12,67.46,2023-07-09,2023-11-05,6648
278,278,mastercard,2067.68,2420.03,121.0,2023-08-21,2023-10-23,2193
279,279,mastercard,4161.14,1593.86,79.69,2023-01-21,2023-03-19,2118
280,280,mastercard,7418.23,1612.87,80.64,2023-10-10,2023-02-05,3227
281,281,amex,3412.34,295.14,14.76,2023-10-13,2023-07-12,1453
282,282,mastercard,7266.59,238.78,11.94,2023-03-26,2023-05-22,97
283,283,mastercard,9969.61,3888.99,194.45,2023-06-15,2023-08-29,5850
284,284,mastercard,4821.95,16.42,0.82,2023-12-09,2023-09-05,18
285,285,mastercard,9419.65,1438.06,71.9,2023-04-09,2023-04-22,4123
286,286,visa,1714.77,4756.37,237.82,2023-01-21,2023-10-17,4855
287,287,amex,3821.11,3993.9,199.7,2023-10-21,2023-05-02,289
288,288,mastercard,6390.97,2591.96,129.6,2023-03-14,2023-06-03,516
289,289,mastercard,2933.09,3710.94,185.55,2023-07-31,2023-11-07,3300
290,290,amex,4359.03,4718.94,235.95,2023-07-03,2023-03-04,6295
291,291,visa,5062.18,4699.36,234.97,2023-08-25,2023-04-19,3428
292,292,visa,7067.37,2229.14,111.46,2023-12-02,2023-11-22,978
293,293,visa,2961.29,1612.06,80.6,2023-04-06,2023-10-29,2322
294,294,amex,4174.62,3740.67,187.03,2023-03-24,2023-02-06,752
295,295,mastercard,9591.9,2050.93,102.55,2023-03-23,2023-10-06,7967
296,296,mastercard,3395.71,774.01,38.7,2023-10-11,2023-12-31,4856
297,297,mastercard,7617.56,968.8,48.44,2023-09-08,2023-09-29,9740
298,298,visa,8838.8,2715.58,135.78,2023-11-10,2023-10-15,347
299,299,visa,7041.8,2545.9,127.3,2023-04-07,2023-01-07,1980
300,300,mastercard,8097.28,2316.68,115.83,2023-11-02,2023-03-22,2812
301,301,amex,9856.36,1850.26,92.51,2023-01-20,2023-05-13,2815
302,302,visa,3986.62,1625.51,81.28,2023-06-14,2023-07-10,7999
303,303,visa,3323.49,941.17,47.06,2023-03-21,2023-05-20,1982
304,304,mastercard,5053.05,3409.23,170.46,2023-03-16,2023-03-31,9746
305,305,mastercard,6744.88,2515.52,125.78,2023-10-17,2023-03-13,6359
306,306,visa,1964.5,1846.73,92.34,2023-09-27,2023-01-09,1131
307,307,visa,1471.69,3886.96,194.35,2023-08-02,2023-08-12,2320
308,308,visa,2238.45,3162.06,158.1,2023-10-03,2023-10-27,3202
309,309,mastercard,2502.57,3778.11,188.91,2023-02-08,2023-10-05,9873
310,310,mastercard,1353.48,3222.2,161.11,2023-09-26,2023-01-08,3453
311,311,amex,6330.59,3125.05,156.25,2023-07-16,2023-02-25,2317
312,312,mastercard,6223.48,2059.07,102.95,2023-08-09,2023-10-11,3050
313,313,mastercard,5314.23,1405.2,70.26,2023-04-19,2023-04-26,5250
314,314,visa,2176.38,1155.45,57.77,2023-07-07,2023-07-20,2923
315,315,amex,9519.27,4493.32,224.67,2023-05-30,2023-02-16,9080
316,316,visa,7348.88,1004.28,50.21,2023-02-11,2023-01-21,6032
317,317,amex,1912.87,3364.06,168.2,2023-07-17,2023-02-02,2763
318,318,amex,6189.39,946.97,47.35,2023-05-03,2023-10-31,6982
319,319,mastercard,1357.96,4694.62,234.73,2023-01-16,2023-03-15,5281
320,320,amex,4641.09,980.17,49.01,2023-12-09,2023-09-06,8368
321,321,visa,8273.56,4274.29,213.71,2023-07-06,2023-07-25,2418
322,322,visa,5781.64,4675.61,233.78,2023-01-21,2023-12-26,3259
323,323,amex,1864.16,1034.48,51.72,2023-10-19,2023-08-19,8175
324,324,visa,8620.43,4435.27,221.76,2023-05-06,2023-09-29,9660
325,325,visa,1670.47,547.3,27.36,2023-04-16,2023-11-02,6009
326,326,mastercard,5384.6,3499.94,175.0,2023-09-22,2023-01-20,2628
327,327,mastercard,5624.47,2534.42,126.72,2023-09-25,2023-11-19,5389
328,328,visa,7962.71,4805.58,240.28,2023-10-05,2023-09-03,5101
329,329,amex,9870.84,2404.73,120.24,2023-08-03,2023-02-14,3792
330,330,mastercard,4590.0,342.16,17.11,2023-10-23,2023-10-18,6254
331,331,amex,6767.13,631.19,31.56,2023-11-01,2023-08-13,2517
332,332,mastercard,5682.76,1607.23,80.36,2023-08-27,2023-04-30,191
333,333,visa,1717.43,2344.87,117.24,2023-04-14,2023-10-12,7883
334,334,mastercard,8175.51,4789.63,239.48,2023-11-28,2023-02-14,7107
335,335,amex,5704.6,2421.5,121.08,2023-02-28,2023-09-09,7051
336,336,visa,6459.75,4650.09,232.5,2023-01-11,2023-05-23,4313
337,337,mastercard,4046.42,4566.73,228.34,2023-11-14,2023-09-16,8609
338,338,visa,9233.28,843.63,42.18,2023-03-29,2023-04-03,8348
339,339,amex,7186.92,4596.41,229.82,2023-03-31,2023-11-21,3998
340,340,amex,4212.96,1275.91,63.8,2023-10-07,2023-04-19,5825
341,341,amex,5471.24,4184.03,209.2,2023-03-03,2023-04-08,4634
342,342,visa,3750.84,4876.42,243.82,2023-11-03,2023-02-03,3980
343,343,visa,6749.59,359.88,17.99,2023-11-28,2023-12-28,4393
344,344,mastercard,8279.12,3407.06,170.35,2023-09-24,2023-03-25,5227
345,345,amex,4085.77,2131.26,106.56,2023-04-05,2023-07-18,8567
346,346,visa,8366.36,2275.69,113.78,2023-05-02,2023-09-17,9653
347,347,visa,9342.06,2793.84,139.69,2023-05-14,2023-03-16,2575
348,348,visa,4555.25,4727.19,236.36,2023-04-12,2023-08-14,9618
349,349,mastercard,3079.79,3160.63,158.03,2023-04-26,2023-01-15,2114
350,350,mastercard,9491.14,4959.12,247.96,2023-09-27,2023-09-30,6435
351,351,amex,1492.79,4826.23,241.31,2023-05-02,2023-02-23,7
352,352,amex,5350.06,4281.53,214.08,2023-05-26,2023-02-06,5340
353,353,visa,8013.22,3495.69,174.78,2023-08-14,2023-02-23,6850
354,354,amex,1413.25,1159.11,57.96,2023-07-18,2023-10-05,7332
355,355,visa,6763.7,2864.88,143.24,2023-03-08,2023-01-08,220
356,356,visa,8551.31,1169.05,58.45,2023-02-11,2023-01-11,6607
357,357,visa,3682.38,4771.23,238.56,2023-09-16,2023-03-14,3173
358,358,amex,3792.92,4794.0,239.7,2023-05-03,2023-11-22,3837
359,359,visa,1304.35,1662.92,83.15,2023-01-11,2023-04-18,9329
360,360,visa,5959.12,240.54,12.03,2023-03-27,2023-01-09,6065
361,361,mastercard,1552.98,4138.9,206.94,2023-11-29,2023-08-26,8027
